time,open,high,low,close,symbol,volume,quote_volume,涨跌幅,上涨,下跌,TrTrix_2,上涨数量,下跌数量,上涨比例,rank_TrTrix_2,rank_sum,rank
2021-01-01 11:59:00,1.3658,1.4033,1.1222,1.1734,1INCH-USDT,25403471.0,31517115.0848,-0.14200058496636436,0,1,-0.07051713760163392,63,15,0.8076923076923077,1.0,1.0,1.0
2021-01-01 23:59:00,164.06,168.99,130.04,135.79,XMR-USDT,956884.799,136789222.67637,-0.17226455348978975,0,1,-0.10723953596228519,22,56,0.28205128205128205,1.0,1.0,1.0
2021-01-02 11:59:00,1.1578,1.1626,1.0351,1.0706,1INCH-USDT,12425733.0,13604375.9425,-0.07531525306615994,0,1,-0.06099799883638923,23,55,0.2948717948717949,1.0,1.0,1.0
2021-01-02 23:59:00,0.07895,0.0793,0.07041,0.07226,ZIL-USDT,345028395.0,26233072.85589,-0.08485309017223908,0,1,-0.0590782029618061,39,39,0.5,1.0,1.0,1.0
2021-01-03 11:59:00,0.07227,0.07681,0.06479,0.06812,ZIL-USDT,568478166.0,39767008.15138,-0.057293108220315636,0,1,-0.057925500394000684,57,21,0.7307692307692307,1.0,1.0,1.0
2021-01-03 23:59:00,0.01311,0.014,0.009403,0.009877,DOGE-USDT,28659713680.0,333463196.059425,-0.24614562662188977,0,1,-0.10933519462539498,67,11,0.8589743589743589,1.0,1.0,1.0
2021-01-04 11:59:00,0.009878,0.011554,0.0077,0.008864,DOGE-USDT,15408901674.0,148546439.834962,-0.10256150653032292,0,1,-0.10509657473787504,14,64,0.1794871794871795,1.0,1.0,1.0
2021-01-05 11:59:00,0.0309699999999999,0.03125,0.02677,0.02853,TRX-USDT,5545889915.0,156376329.73097,-0.07878592185986144,0,1,-0.03638202246157474,63,15,0.8076923076923077,1.0,1.0,1.0
2021-01-05 23:59:00,1.11431,1.24663,0.8595,0.91368,CTK-USDT,41097528.0,43046810.24487,-0.1800412815220318,0,1,-0.09386690705951761,56,22,0.717948717948718,1.0,1.0,1.0
2021-01-06 23:59:00,2.0322,2.1578,1.6734,1.8753,SOL-USDT,32130164.0,61306773.2752,-0.07729777602834087,0,1,-0.06923034727119681,56,22,0.717948717948718,1.0,1.0,1.0
2021-01-07 11:59:00,1.5992,1.6285,1.4341,1.4795,RUNE-USDT,5546697.0,8429942.8828,-0.07398134818802016,0,1,-0.04380335729979701,40,38,0.5128205128205128,1.0,1.0,1.0
2021-01-07 23:59:00,0.42353,0.44,0.35557,0.3706,LRC-USDT,76791005.0,30432286.61388,-0.12381492777265513,0,1,-0.08254968953666231,14,64,0.1794871794871795,1.0,1.0,1.0
2021-01-08 11:59:00,1.6894,1.7232,1.4335,1.6258,KAVA-USDT,9330976.4,14680408.8167,-0.037418590882178915,0,1,-0.03468816721200818,40,38,0.5128205128205128,1.0,1.0,1.0
2021-01-08 23:59:00,1.3011,1.345,1.1256,1.1874,1INCH-USDT,21322314.0,26315215.3114,-0.08745773132493073,0,1,-0.06613659464013089,26,52,0.3333333333333333,1.0,1.0,1.0
2021-01-09 11:59:00,0.16519,0.17599,0.1461,0.1521799999999999,CVC-USDT,83282782.0,12953411.91061,-0.078367248062016,0,1,-0.06964789508249114,70,8,0.8974358974358975,1.0,1.0,1.0
2021-01-09 23:59:00,10.7122,10.7711,9.7599,9.9106,BAND-USDT,2602226.6,26717557.53455,-0.07456275504010601,0,1,-0.03477775370330505,58,20,0.7435897435897436,1.0,1.0,1.0
2021-01-10 11:59:00,0.03348,0.03477,0.0294399999999999,0.03007,MATIC-USDT,265208165.0,8747505.24618,-0.10158350761876311,0,1,-0.058361625786717,13,65,0.16666666666666666,1.0,1.0,1.0
2021-01-10 23:59:00,3.363,3.619,2.84,3.062,EOS-USDT,174747288.5,553570690.7168,-0.08896161856590312,0,1,-0.06793650585935962,37,41,0.47435897435897434,1.0,1.0,1.0
2021-01-11 23:59:00,0.9995,1.0209,0.828,0.96,RLC-USDT,16081292.4,14827348.18052,-0.03951975987994005,0,1,-0.06557121627336149,39,39,0.5,1.0,1.0,1.0
2021-01-12 11:59:00,0.4992899999999999,0.5170600000000001,0.47384,0.47948,AXS-USDT,5173352.0,2561515.8013,-0.03944547949596322,0,1,-0.04104457337146006,56,23,0.7088607594936709,1.0,1.0,1.0
