time,open,high,low,close,symbol,volume,quote_volume,ÕÇµø·ù,Õñ·ù,ÉÏÕÇ,ÏÂµø,Dc_2,ApzUpper_2,Turtle_2,ÉÏÕÇÊýÁ¿,ÏÂµøÊýÁ¿,ÉÏÕÇ±ÈÀý,rank_Dc_2,rank_ÕÇµø·ù,rank_Õñ·ù,rank_ApzUpper_2,rank_Turtle_2,rank_sum,rank
2022-06-30 11:59:00,0.1609,0.1649,0.1112,0.1255,1000LUNCBUSD,5541457120.0,732843453.5215,-0.2200124300807954,0.33374766935985084,0,1,0.4017247574559828,0.9999999479875686,0.0,1,164,0.006060606060606061,1.0,2.0,1.0,26.0,2.0,32.0,1.0
2022-07-02 11:59:00,0.1306,0.1337,0.1156,0.1277,1000LUNCBUSD,1719731609.0,215735506.8683,-0.022205206738131644,0.13859111791730488,0,1,0.2300194931773878,0.0,0.0,51,114,0.3090909090909091,1.0,27.0,2.0,10.0,17.0,57.0,1.0
2022-07-02 23:59:00,0.1277,0.134,0.121,0.1235,1000LUNCBUSD,1040582467.0,133858670.7305,-0.03288958496476124,0.10180109631949891,0,1,0.14743589743589755,0.0,0.0,144,21,0.8727272727272727,7.0,2.0,5.0,19.0,91.0,124.0,1.0
2022-07-12 11:59:00,0.1047,0.1048,0.0909,0.0949,1000LUNCBUSD,680169965.0,65608430.1264,-0.09273422562141487,0.1327602674307546,0,1,0.18018018018018023,0.999999721673693,-1.5396800957458798,72,95,0.4311377245508982,2.0,1.0,1.0,3.0,166.0,173.0,1.0
2022-07-12 23:59:00,0.0949,0.0994,0.091,0.0917,1000LUNCBUSD,463542133.0,44365864.9227,-0.033719704952581586,0.08851422550052693,0,1,0.1420541645375576,0.0,-0.246153656804879,5,162,0.029940119760479042,2.0,55.0,5.0,6.0,46.0,114.0,1.0
2022-07-17 11:59:00,0.1059,0.1061,0.0931,0.1033,1000LUNCBUSD,321763042.0,32909587.5433,-0.025471698113207486,0.1227573182247403,0,1,0.14264339152119693,0.9999998113809685,0.0,92,77,0.5443786982248521,11.0,9.0,6.0,66.0,90.0,182.0,1.0
2021-05-11 11:59:00,0.034835,0.037709,0.027675,0.032879,1000SHIB-USDT,20165402010.0,662494856.904323,-0.05625879043600568,0.28804363427587193,0,1,0.46328345328175813,0.0,0.0,89,21,0.8090909090909091,3.0,2.0,3.0,11.0,5.0,24.0,1.0
2021-05-11 23:59:00,0.032871,0.03478,0.0280389999999999,0.030494,1000SHIB-USDT,19728654272.0,626255026.97498,-0.07253870251528327,0.2050743816738188,0,1,0.3069252416493331,0.0,0.0,103,7,0.9363636363636364,7.0,2.0,5.0,22.0,27.0,63.0,1.0
2021-05-14 23:59:00,0.020501,0.020697,0.0181729999999999,0.018415,1000SHIB-USDT,21154240051.0,409966702.769521,-0.10175113409101988,0.12311594556363588,0,1,0.17016563459699474,0.0,0.0,35,75,0.3181818181818182,17.0,1.0,10.0,9.0,34.0,71.0,1.0
2021-05-17 11:59:00,0.017748,0.017843,0.01394,0.01619,1000SHIB-USDT,41694076955.0,669408799.507805,-0.08860616978158065,0.21991210277214346,0,1,0.4467680608365019,0.0,0.0,16,94,0.14545454545454545,1.0,1.0,5.0,51.0,9.0,67.0,1.0
